0.0000	0.0000	0.4000
0.2476	0.2476	0.3623
0.4952	0.4952	0.3281
0.7428	0.7428	0.2972
0.9904	0.9904	0.2692
2.0150	0.0000	0.4000
2.2626	0.2476	0.3623
2.5102	0.4952	0.3281
2.7578	0.7428	0.2972
3.0054	0.9904	0.2692
3.2530	1.2380	0.2438
3.5006	1.4856	0.2208
3.7482	1.7332	0.2000
4.7729	0.0000	0.4000
5.0205	0.2476	0.3623
5.2681	0.4952	0.3281
5.5157	0.7428	0.2972
5.7633	0.9904	0.2692
6.7879	0.0000	0.4000
7.0355	0.2476	0.3623
8.0602	0.0000	0.4000
8.3078	0.2476	0.3623
8.5554	0.4952	0.3281
8.8030	0.7428	0.2972
9.0506	0.9904	0.2692
9.2982	1.2380	0.2438
9.5458	1.4856	0.2208
10.5704	0.0000	0.4000
