0.0000	0.0000	0.0000	0
0.2476	0.0000	0.0943	0
0.4952	0.1676	0.1797	0
0.7428	0.2552	0.2570	0
0.9904	0.4397	0.3271	0
2.0150	0.0520	0.5534	1
2.2626	0.0520	0.5955	1
2.5102	0.4263	0.6336	1
2.7578	0.9733	0.6682	1
3.0054	0.7477	0.6995	1
3.2530	0.9542	0.7278	1
3.5006	0.6731	0.7535	1
3.7482	0.9295	0.7767	1
4.7729	0.0880	0.8518	2
5.0205	0.0880	0.8658	2
5.2681	0.3493	0.8784	2
5.5157	0.2150	0.8899	2
5.7633	0.8692	0.9003	2
6.7879	0.0851	0.9338	3
7.0355	0.0851	0.9400	3
8.0602	0.0871	0.9602	4
8.3078	0.0871	0.9640	4
8.5554	0.7637	0.9674	4
8.8030	0.6317	0.9704	4
9.0506	0.2955	0.9732	4
9.2982	0.9904	0.9757	4
9.5458	0.5960	0.9780	4
10.5704	0.1964	0.9854	5
