0.0000	0.0000	0.0000
0.2476	0.2476	0.0943
0.4952	0.4952	0.1797
0.7428	0.7428	0.2570
0.9904	0.9904	0.3271
2.0150	0.0000	0.0000
2.2626	0.2476	0.0943
2.5102	0.4952	0.1797
2.7578	0.7428	0.2570
3.0054	0.9904	0.3271
3.2530	1.2380	0.3906
3.5006	1.4856	0.4480
3.7482	1.7332	0.5001
4.7729	0.0000	0.0000
5.0205	0.2476	0.0943
5.2681	0.4952	0.1797
5.5157	0.7428	0.2570
5.7633	0.9904	0.3271
6.7879	0.0000	0.0000
7.0355	0.2476	0.0943
8.0602	0.0000	0.0000
8.3078	0.2476	0.0943
8.5554	0.4952	0.1797
8.8030	0.7428	0.2570
9.0506	0.9904	0.3271
9.2982	1.2380	0.3906
9.5458	1.4856	0.4480
10.5704	0.0000	0.0000
